iter	RMSE
0	0.8948826148
1	0.8821198926
2	0.8668231569
3	0.8516383936
4	0.8382095168
5	0.825912793
6	0.8129310119
7	0.8003229084
8	0.7872720579
9	0.7740959908
10	0.7625074723
11	0.7511563792
12	0.7398126519
13	0.7280201139
14	0.7170829837
15	0.7071952285
16	0.6958982858
17	0.684873881
18	0.6742746458
19	0.6641395095
20	0.6540909675
21	0.6441917906
22	0.6346726352
23	0.6253873629
24	0.6165204722
25	0.6072834949
26	0.5984132913
27	0.5907890662
28	0.5816709929
29	0.5748706068
30	0.5664143817
31	0.5578964962
32	0.550180605
33	0.5425362332
34	0.5351321455
35	0.5287136738
36	0.5228488003
37	0.5168011984
38	0.5110086003
39	0.5040271656
40	0.4973586297
41	0.490801913
42	0.4851705798
43	0.4786354517
44	0.4741455855
45	0.4686293766
46	0.4629950996
47	0.4574413554
48	0.4520978848
49	0.4465353086
50	0.4408633329
51	0.4357074836
52	0.4312384322
53	0.4264074884
54	0.4220093785
55	0.4174966631
56	0.4124886682
57	0.408841544
58	0.4048396633
59	0.4002939169
60	0.3958409929
61	0.3916696267
62	0.3874692632
63	0.383303022
64	0.3795215985
65	0.3757544257
66	0.3716430612
67	0.3680721212
68	0.36461673
69	0.3613479207
70	0.3578835794
71	0.3547998359
72	0.352614151
73	0.3493470739
74	0.3465152182
75	0.3433730087
76	0.3407342297
77	0.3380970106
78	0.3352459719
79	0.3322116291
80	0.3295344427
81	0.3266580514
82	0.3242498132
83	0.3215369821
84	0.3189091073
85	0.317842827
86	0.3156357646
87	0.3133798279
88	0.311121481
89	0.3085125161
90	0.3063412786
91	0.3042549367
92	0.3022726852
93	0.3002428166
94	0.2981575837
95	0.2961375487
96	0.2939407461
97	0.2921474304
98	0.290452203
99	0.288618419
100	0.2868046069
101	0.2851461221
102	0.2832683325
103	0.2813596078
104	0.2795709639
105	0.2777647883
106	0.2764793133
107	0.2749927212
108	0.2734983485
109	0.2720227607
110	0.2701801987
111	0.2685946334
112	0.2673785158
113	0.2661538587
114	0.2647139161
115	0.2633901773
116	0.2619639406
117	0.2604889926
118	0.2595226842
119	0.2581178372
120	0.2567286734
121	0.2555486413
122	0.2544906671
123	0.253190224
124	0.2519920008
125	0.2510740855
126	0.2500024543
127	0.2488120799
128	0.2477690499
129	0.2466105666
130	0.245413471
131	0.2442952351
132	0.2432749193
133	0.2423861585
134	0.2415061409
135	0.240456427
136	0.2395701392
137	0.2387869225
138	0.2379365832
139	0.2370197003
140	0.2361604098
141	0.235309114
142	0.2345686312
143	0.2337568709
144	0.2329916414
145	0.232127186
146	0.2312700005
147	0.2305707116
148	0.2297670582
149	0.2291274056
150	0.2285116837
151	0.2277766226
152	0.2270713387
153	0.2265253505
154	0.2258055342
155	0.2252634991
156	0.2248347107
157	0.2242698681
158	0.2237255172
159	0.2231845158
160	0.2225113724
161	0.2219214144
162	0.2212273176
163	0.2206827849
164	0.2201545213
165	0.219656877
166	0.2191320619
167	0.2185686174
168	0.2180567919
169	0.2174516753
170	0.2169851594
171	0.2164957146
172	0.2160000706
173	0.2155299055
174	0.2149584286
175	0.2144507999
176	0.2139703597
177	0.2134885966
178	0.2130323514
179	0.2126980249
180	0.2121967134
181	0.2116520086
182	0.2112803925
183	0.2109107396
184	0.2105354296
185	0.2102019543
186	0.2097733582
187	0.2094290109
188	0.2089840712
189	0.2085995313
190	0.2082101127
191	0.2078864741
192	0.2075250312
193	0.2072794458
194	0.2069874212
195	0.2066372494
196	0.2062753325
197	0.2059356295
198	0.2055052144
199	0.2051846455
200	0.2049231121
201	0.2045576538
202	0.2042471667
203	0.2039327068
204	0.2036850942
205	0.2034426118
206	0.2031582119
207	0.2030318368
208	0.20274649
209	0.2024332665
210	0.2021846087
211	0.2018708606
212	0.2016371964
213	0.2013821314
214	0.2011468522
215	0.2008542777
216	0.2006930263
217	0.2004936423
218	0.2001806021
219	0.1999380234
220	0.1997281591
221	0.1994746221
222	0.1992806387
223	0.1991539839
224	0.1989743065
225	0.1987064814
226	0.1985107571
227	0.1982955965
228	0.1980519576
229	0.1978291424
230	0.1975967433
231	0.1973812365
232	0.1971918042
233	0.1970005293
234	0.1967862238
235	0.1965393807
236	0.1963437252
237	0.1962065736
238	0.1960107134
239	0.1958934737
240	0.1957080527
241	0.1955396006
242	0.1953466046
243	0.1951798072
244	0.1950191102
245	0.1948112791
246	0.1945951756
247	0.1944969268
248	0.1943431383
249	0.1941938223
250	0.1940479023
251	0.1939196991
252	0.1937795245
253	0.1936527715
254	0.1934721621
255	0.1933165373
256	0.1931029726
257	0.1929062101
258	0.1927668852
259	0.1926399548
260	0.1924631264
261	0.1922921733
262	0.1921508888
263	0.1919992959
264	0.19187445
265	0.191753866
266	0.1916097062
267	0.1914402319
268	0.1912919915
269	0.1911303385
270	0.1909750503
271	0.1908561396
272	0.1907004211
273	0.1905774367
274	0.1904758547
275	0.1903549138
276	0.1902347839
277	0.1901172152
278	0.1899791282
279	0.1898490761
280	0.189709667
281	0.1895775047
282	0.1894778416
283	0.189381629
284	0.189259033
285	0.1891476087
286	0.1890512373
287	0.1889225173
288	0.1887861975
289	0.1886675388
290	0.188500472
291	0.1883732987
292	0.1882667831
293	0.1881714518
294	0.1881013164
295	0.1879893975
296	0.187860283
297	0.1877296514
298	0.1876177143
299	0.1875141446
300	0.1873783783
301	0.1872740901
302	0.1871673977
303	0.1870257336
304	0.1869055687
305	0.1867996662
306	0.1866924998
307	0.1865889687
308	0.186484386
309	0.1863836833
310	0.1862827053
311	0.1861922131
312	0.1860727134
313	0.1859605999
314	0.1858318761
315	0.1857422142
316	0.1856623726
317	0.1855661599
318	0.1854664634
319	0.1853398095
320	0.1852472843
321	0.1851783856
322	0.185088106
323	0.184978921
324	0.1849046375
325	0.1848201521
326	0.1847396925
327	0.1846624959
328	0.1845823993
329	0.1844749012
330	0.1843748375
331	0.1843017178
332	0.1842197916
333	0.1841250433
334	0.184042928
335	0.1839757638
336	0.1838783135
337	0.1838043995
338	0.1837048619
339	0.1836269464
340	0.1835472928
341	0.1834474964
342	0.183362335
343	0.1832441102
344	0.1831105396
345	0.183025096
346	0.1829268464
347	0.1828252952
348	0.1827341789
349	0.1826499298
350	0.1825509166
351	0.1824695179
352	0.1823832896
353	0.1822777609
354	0.182206747
355	0.1821153278
356	0.181998792
357	0.1818956351
358	0.181834923
359	0.1817894169
360	0.181700596
361	0.1816197289
362	0.1815118961
363	0.1814592967
364	0.1813783471
365	0.181295513
366	0.1812010946
367	0.1811434689
368	0.181061481
369	0.1809919436
370	0.1809093147
371	0.1807993934
372	0.1807320852
373	0.1806432123
374	0.1805280861
375	0.1804409931
376	0.1803757519
377	0.1803054567
378	0.1802192089
379	0.1801233853
380	0.1800525641
381	0.1799867935
382	0.1799246641
383	0.1798384548
384	0.1797294496
385	0.1796488272
386	0.1795544946
387	0.179467888
388	0.1793770065
389	0.1793189696
390	0.1792541624
391	0.1791487688
392	0.1790612492
393	0.1789901967
394	0.1789141472
395	0.1788318326
396	0.1787584594
397	0.1786707102
398	0.1785690296
399	0.1785084949
400	0.1784318085
401	0.1783427984
402	0.1782735057
403	0.1782014705
404	0.1781191452
405	0.1780318465
406	0.1779454523
407	0.1778898814
408	0.1778322092
409	0.1777717522
410	0.1776906675
411	0.1776333236
412	0.1775695436
413	0.1775083963
414	0.1774251259
415	0.1773653882
416	0.1772879834
417	0.1772290607
418	0.1771250889
419	0.1770421221
420	0.1769904491
421	0.1769200362
422	0.176856957
423	0.1767780146
424	0.1767152395
425	0.1766338486
426	0.1765465981
427	0.1764649866
428	0.1764131963
429	0.1763578964
430	0.1762911766
431	0.1762429197
432	0.1761783219
433	0.1761339462
434	0.1760788597
435	0.1760230704
436	0.1759623139
437	0.1758931394
438	0.1758356718
439	0.1757634183
440	0.1757198458
441	0.1756586086
442	0.1755993071
443	0.1755425898
444	0.1754568754
445	0.1754115979
446	0.1753312086
447	0.175270459
448	0.1752203783
449	0.1751487109
450	0.1750767012
451	0.1749624862
452	0.1748924375
453	0.1748275372
454	0.1747749325
455	0.1746940267
456	0.1746075882
457	0.1745187159
458	0.1744482229
459	0.1743966215
460	0.1743293165
461	0.1742742221
462	0.1742126158
463	0.1741508046
464	0.1740848869
465	0.1740140283
466	0.1739402582
467	0.1738703897
468	0.1737850719
469	0.173734459
470	0.1736767954
471	0.1735959141
472	0.1735501639
473	0.173483219
474	0.1734306415
475	0.1733534467
476	0.1732779616
477	0.1732255106
478	0.1731552603
479	0.1730963778
480	0.1730697287
481	0.173015433
482	0.1729835301
483	0.172907065
484	0.1728609794
485	0.1727730707
486	0.1727357946
487	0.1726526875
488	0.1726117888
489	0.1725371911
490	0.1724627798
491	0.1724212317
492	0.1723809106
493	0.1723321826
494	0.1722835887
495	0.1722114224
496	0.172170382
497	0.1720963803
498	0.1720417899
499	0.1719689619
