iter	Passed	Remaining
0	0	165
1	0	158
2	1	174
3	1	182
4	1	166
5	1	159
6	2	153
7	2	149
8	2	152
9	3	147
10	3	145
11	3	142
12	3	139
13	4	140
14	4	140
15	4	140
16	4	141
17	5	143
18	5	141
19	5	142
20	6	140
21	6	139
22	6	138
23	6	135
24	7	134
25	7	132
26	7	129
27	7	128
28	7	127
29	8	125
30	8	125
31	8	124
32	8	123
33	8	122
34	9	120
35	9	119
36	9	118
37	9	116
38	9	115
39	10	115
40	10	114
41	10	114
42	10	113
43	10	113
44	11	112
45	11	112
46	11	111
47	11	110
48	11	110
49	12	109
50	12	109
51	12	108
52	12	108
53	13	107
54	13	107
55	13	106
56	13	105
57	13	105
58	13	104
59	14	104
60	14	104
61	14	103
62	14	102
63	15	102
64	15	101
65	15	101
66	15	100
67	15	100
68	16	100
69	16	99
70	16	99
71	16	98
72	16	98
73	16	97
74	17	97
75	17	97
76	17	96
77	17	95
78	17	95
79	18	95
80	18	94
81	18	94
82	18	94
83	18	94
84	19	93
85	19	93
86	19	92
87	19	92
88	19	92
89	20	91
90	20	91
91	20	91
92	20	90
93	20	90
94	21	90
95	21	89
96	21	89
97	21	89
98	21	89
99	22	88
100	22	88
101	22	88
102	22	88
103	23	87
104	23	87
105	23	87
106	23	86
107	23	86
108	23	86
109	24	85
110	24	85
111	24	85
112	24	84
113	24	84
114	25	84
115	25	83
116	25	83
117	25	82
118	25	82
119	26	82
120	26	82
121	26	81
122	26	81
123	26	81
124	27	81
125	27	80
126	27	80
127	27	80
128	27	79
129	28	79
130	28	79
131	28	79
132	28	78
133	28	78
134	28	78
135	29	77
136	29	77
137	29	77
138	29	76
139	29	76
140	29	76
141	30	76
142	30	75
143	30	75
144	30	75
145	30	75
146	31	74
147	31	74
148	31	74
149	31	74
150	31	73
151	32	73
152	32	73
153	32	72
154	32	72
155	32	72
156	33	72
157	33	72
158	33	71
159	33	71
160	33	71
161	34	71
162	34	70
163	34	70
164	34	70
165	34	70
166	35	69
167	35	69
168	35	69
169	35	69
170	35	68
171	35	68
172	36	68
173	36	68
174	36	67
175	36	67
176	36	67
177	37	67
178	37	66
179	37	66
180	37	66
181	37	66
182	38	65
183	38	65
184	38	65
185	38	65
186	38	64
187	39	64
188	39	64
189	39	64
190	39	64
191	39	63
192	40	63
193	40	63
194	40	63
195	40	63
196	40	62
197	41	62
198	41	62
199	41	62
200	41	61
201	41	61
202	42	61
203	42	61
204	42	60
205	42	60
206	42	60
207	42	60
208	43	60
209	43	59
210	43	59
211	43	59
212	43	59
213	44	58
214	44	58
215	44	58
216	44	58
217	44	58
218	45	57
219	45	57
220	45	57
221	45	57
222	45	57
223	46	56
224	46	56
225	46	56
226	46	56
227	46	55
228	47	55
229	47	55
230	47	55
231	47	54
232	47	54
233	48	54
234	48	54
235	48	54
236	48	53
237	48	53
238	49	53
239	49	53
240	49	53
241	49	52
242	49	52
243	50	52
244	50	52
245	50	52
246	51	52
247	51	52
248	51	52
249	52	52
250	52	52
251	52	51
252	53	51
253	53	51
254	53	51
255	53	51
256	54	51
257	54	51
258	54	51
259	55	50
260	55	50
261	55	50
262	56	50
263	56	50
264	56	50
265	56	49
266	56	49
267	57	49
268	57	49
269	57	48
270	57	48
271	57	48
272	58	48
273	58	48
274	58	47
275	58	47
276	59	47
277	59	47
278	59	47
279	59	46
280	60	46
281	60	46
282	60	46
283	60	46
284	61	46
285	61	45
286	61	45
287	61	45
288	61	45
289	62	45
290	63	45
291	63	45
292	63	45
293	64	44
294	64	44
295	64	44
296	65	44
297	65	44
298	65	44
299	65	43
300	65	43
301	66	43
302	66	43
303	66	42
304	66	42
305	66	42
306	67	42
307	67	41
308	67	41
309	67	41
310	67	41
311	68	41
312	68	40
313	68	40
314	68	40
315	68	40
316	68	39
317	69	39
318	69	39
319	69	39
320	70	39
321	70	38
322	70	38
323	71	38
324	71	38
325	71	38
326	72	38
327	72	38
328	72	37
329	73	37
330	73	37
331	73	37
332	74	37
333	74	37
334	74	36
335	75	36
336	75	36
337	75	36
338	76	36
339	76	36
340	76	35
341	77	35
342	77	35
343	77	35
344	78	35
345	78	34
346	78	34
347	79	34
348	79	34
349	79	34
350	80	33
351	80	33
352	80	33
353	81	33
354	81	33
355	81	33
356	82	32
357	82	32
358	82	32
359	83	32
360	83	32
361	83	32
362	84	31
363	84	31
364	84	31
365	85	31
366	85	31
367	85	30
368	86	30
369	86	30
370	86	30
371	87	29
372	87	29
373	87	29
374	87	29
375	87	28
376	88	28
377	88	28
378	88	28
379	89	28
380	89	27
381	89	27
382	90	27
383	90	27
384	90	27
